"","tm1","tm2","tm3"
"35824",0,0.960420148044455,1.79656714572782
"35825",0,0,0
"35826",123.010186543396,115.065860377788,94.4447537347614
"35827",10.221570727245,8.03654872378289,16.5086312241586
"35828",22.4985113794867,4.12328526521554,33.9611076114083
"35829",6.94462339612305,2.99534059321075,1.59246010905342
"35830",0.722256706970577,0.616017718591562,0.524472989178254
"35831",2.05711041357291,11.9753200573239,1.91294964180229
"35832",50.2032898550531,60.0030318445546,39.6085404597712
"35833",0,3.08797561226592,0
"35834",1.29482290472445,0,0
"35835",0,0,0
"35836",0,0,0
"35837",8.84673957679687,14.9907294257634,11.1461232031484
"35838",65.4939650658078,74.1351764766243,48.3974052975008
"35839",0,0,3.84465369185754
"35840",99.699555783478,92.2080925216483,106.178892699819
"35841",5.96827113205266,6.88965488235324,6.53748373165551
"35842",9.2142663684583,18.2199870266362,8.43687893490961
"35843",74.8798163711785,55.3646409179603,56.3826085471091
"35844",0,3.5979628636376,1.3816724205113
"35845",8.07869032150279,5.21043262691959,8.35217870989742
"35846",5.81617169625641,7.99883211218423,10.8474157734552
"35847",13.4084947343699,11.4540665438924,12.1250991432174
"35848",0,7.29057589689249,16.2991656513961
"35849",4.79720325281618,5.80431695026496,4.2291190610433
"35850",0,0,0
"35851",1.75000574658137,2.08962873169295,0.753853665070106
"35852",0,0,0
"35853",28.5640255151805,16.3310600406097,23.8808885705689
"35854",11.4324323432299,14.5461213621313,10.75361057376
"35855",5.94286807258534,8.05138542911911,3.23468459651476
"35856",18.333945746263,27.9726118085058,19.3622318457404
"35857",4.32122131382104,2.746625175652,2.47518601797689
"35858",12.9546134352343,10.5378105629963,20.7726065142154
"35859",4.0393451607514,0,3.48007446245726
"35860",13.0401625811129,11.1676266050057,12.846208144051
"35861",65.3819807531252,47.8033382759075,55.2713058269795
"35862",0,0,0
"35863",12.3733360854878,9.08276124855172,19.5727824312748
"35864",4.60554396960886,3.97689643923156,3.26549111648157
"35865",0,0,0
"35866",18.3880395483915,14.3511472282143,17.7388049504872
"35867",0,0.144561944270673,0
"35868",0,3.1661441655297,2.38164387991175
"35869",27.7601246021252,27.2495374049027,29.0427797280119
"35870",35.6439849704639,43.6864766851574,26.8158549954089
"35871",11.0085463360712,10.5330364095097,12.2323956172174
"35872",16.2547280057876,16.2903993699607,24.1573462615233
"35873",138.865342362704,157.43452830823,110.131852573119
"35874",29.4362205144001,17.5988915201296,25.2547893887156
"35875",21.9202642883602,6.19015607017989,13.0549229756481
"35876",11.7091645561638,11.8561994283665,22.3874524711705
"35877",1.73542236535986,0,1.49514310238904
"35878",0.907164169865435,1.09415878148193,0.453937550886671
"35879",177.526946590474,182.194011896799,192.622143018806
"35880",8.47076134879671,14.1304663165378,14.6879584155995
"35881",29.2449073537192,27.9473761807788,21.4962083777444
"35882",451.632733048987,511.287372886727,358.72126652361
"35883",0.918753016955219,1.18101338139432,1.18731952248542
"35884",17.6510929936238,13.0668344416532,18.4886212570219
"35885",14.8512487677881,17.3863080844658,5.75160192301888
"35886",21.4318137977712,23.2873803440311,18.1103423905921
"35887",5.61715131245349,32.6314001193389,17.6370127402696
"35888",50.6255899705946,49.8958080404701,50.6499061099877
"35889",14.8317759765716,15.6147371285578,14.8082079651473
"35890",0,0.938125574967784,0
"35891",0,0,0
"35892",4.45791412321158,2.56618102786769,2.77449235494874
"35893",22.257480495409,13.0159546263784,18.7486198553547
"35894",10.7278852276931,15.1026423991156,14.4251406518495
"35895",8.34028600810383,7.36722799641695,9.20949229175991
"35896",44.8924861253787,53.7941832332481,56.3055734226879
"35897",2.68292885055344,1.49470696004699,3.17534151068396
"35898",0,0,0
"35899",7.21672291666388,5.79093609663986,6.9684348164918
"35900",11.5661094087832,11.5788582141563,14.6619922425533
"35901",0,0.891062419032945,0
"35902",16.7373127130886,12.6722792229701,9.780520825927
"35903",2.28011697638522,0,1.96442159437977
"35904",341.343806072908,385.394428356067,364.767452122534
"35905",0,7.61221895116716,0
"35906",11.9790416123539,12.0680815618086,14.5064209481089
"35907",22.5171584679397,22.280463205207,14.232929999656
"35908",19.9830844873782,15.32018908411,26.9609362667997
"35909",11.9252510239498,9.84857706111457,9.68765845518906
"35910",6.94168946143944,4.17826240208508,3.58834344573371
"35911",67.4335547682688,53.758186776053,60.2329078391015
"35912",0,0,0
"35913",26.0885472067284,18.0351033612268,22.929908941694
